SOURCE	TARGET	Type	Language	Word	Source_Gloss	Target_Gloss	Direction
big	brave	Polysemy	Aghul	zurba	huge, tremendous	brave; hero, braveheart	
big	elder	Polysemy	Classical Arabic	kabīr-	big	old, advanced in age	→
big	elder	Polysemy	Tigrinya	ʕabiy	big, huge, great, large, considerable, tremendous	elder, adult	→
big	elder	Polysemy	French	grand	big	grown-up	→
big	elder	Polysemy	Ancient Hebrew	gādōl	big, tall	old, elder	→
big	elder	Polysemy	Akkadian	rabû	large	full-grown, adult; elder, eldest	→
big	elder	Polysemy	Lezgian	č’eχi	big, large	elder; adult	
big	elder	Polysemy	Komi	ыджыд	big, large	elder	→
big	elder	Polysemy	Turkish	buyuk	big, large	elder	→
big	elder	Polysemy	Aghul	aʜaf	big, large	elder	
big	elder	Polysemy	Ancient Greek	μέγας	big, large	adult	→
big	elder	Polysemy	Classical Arabic	ḳiršabb-	&#39;(a man) corpulent, or bulky, and tall&#39;	&#39;advanced in years (a man)&#39;	—
big	elder	Polysemy	Amharic	təlləḳ	&#39;big, great (in size, in importance); adult, grown-up, senior, older&#39; (K 957)	&#39;big, great (in size, in importance); adult, grown-up, senior, older&#39;	←
big	boss	Polysemy	Lezgian		big, elder, adult	chief, leader	
big	boss	Polysemy	Komi	ыджыд	big, large	elder	—
big	boss	Polysemy	Akkadian	rabû	&#39;large&#39;	&#39;chief, of the first rank&#39;	→
big	boss	Polysemy	Sabaic	kbr	&#39;great&#39;	&#39;magistrate, chief administrative officer of &#39;tribe&#39;&#39;	→
big	quick	Polysemy	Kashub	spṷorï	big, abundant	quick, fast	—
big	thumb	Derivation	Tigrinya		&#39;big, huge, great, large&#39;	&#39;thumb, big toe&#39;	
big	thumb	Derivation	Postbiblical Hebrew		&#39;to be high, to grow, be large, tall&#39;&#39;	&#39;thumb, great toe&#39;	→
big	loud	Polysemy	Ancient Hebrew	gādol	big, large	loud	—
big	loud	Polysemy	Koryak	нымэйыӈӄин	big, large	loud	—
big	loud	Polysemy	Komi	ыджыд	big, large	loud	→
big	important	Polysemy	Russian	bol&#39;šoj	big, large	big, large	→
big	important	Polysemy	Turkish	cesim	big, huge	important	→
big	important	Polysemy	Tamil	periya	large, great	great, important	—
big	great	Polysemy	French	grand	big, large	great	→
big	great	Polysemy	Tigrinya	ʕabiy/ʕabi	&#39;big, huge, large&#39;	&#39;great&#39;	→
big	great	Polysemy	Romanian	mare	big, large	great	→
big	great	Polysemy	Turkish	büyük	big, large, massive	great, mighty, important	→
big	great	Polysemy	Osetin	styr	big, large	great	—
big	great	Semantic evolution			big, large	great	→
big	great	Polysemy	Amharic	təlləḳ	big (size)	great (in importance)	→
big	great	Polysemy	Akkadian	rabû	large	majestic, grand, important	→
big	great	Polysemy	Ancient Hebrew	gādōl	big, tall	mighty, important	→
big	great	Polysemy	Classical Arabic	kabīr-	big	great	→
big	great	Polysemy	German	gross	big, large	great	—
big	great	Polysemy	Ancient Greek	μέγας	big, large	great	→
big	great	Polysemy	Azeri	zorba	big	outstanding; eminent; distinguished	→
big	high (size)	Polysemy	French	grand	big, large	tall (person)	→
big	high (size)	Polysemy	Ancient Greek	μέγας	big, large	high	→
big	high (size)	Polysemy	German	gross	big, large	tall (person)	→
big	to grow up	Polysemy	Ancient Hebrew	gdl (qal)	&#39;to be big, great&#39;	&#39;to grew, to grew up&#39;	→
big	to grow up	Polysemy	Ancient Hebrew	rbh (qal)	&#39;to be big&#39;	&#39;to grow&#39;	→
big	main	Polysemy	Akkadian	rabû	&#39;large&#39;	&#39;main, principal&#39;	→
big	of high rank	Polysemy	Classical Arabic	kabīr-	&#39;big&#39;	&#39;great in dignity and nobility&#39;	→
big	strong	Polysemy	Ancient Greek	μέγας	big, large	strong, mighty	→
big	strong	Semantic evolution		big	Of living beings: Of great strength or power; strong, stout, mighty	Of great size, bulk, or extent; large	→
big	proud	Polysemy	Ancient Greek	μέγας	big, large	arrogant	→
big	pregnant	Polysemy	Yaqui (Hiaki)	bwe&#39;u	big	pregnant	—
to whet	to scratch (when itches)	Polysemy	Aghul	iχas	to sharpen	to scratch	
to whet	to improve	Polysemy	German	wetzen	to sharpen	to sharpen (fig.)	→
to whet	to improve	Polysemy	Mandarin Chinese	zhĭ	to sharpen	to perfect (virtues etc)	→
to whet	to improve	Polysemy	German	schärfen	to sharpen (a knife, a razor, a pensil etc),	to develop, to refine (ear etc)	→
to whet	to improve	Polysemy	Mandarin Chinese	dĭ	to sharpen, to polish	to perfect, to improve	→
to whet	to improve	Polysemy	German	schleifen	to sharpen	to polish (fig.)	→
to whet	to improve	Derivation	Russian		to sharpen	to hone	→
to win	to gain, to earn	Polysemy	Yaqui (Hiaki)	koova	to beat, win, defeat	to gain it, earn it	—
to win	to gain, to earn	Polysemy	French	gagner	to win	to gain, to earn	←
smoke	dust	Polysemy	Aghul	kum	smoke	dust	
smoke	house	Polysemy	Romanian	fum	smoke	home, yard, household	→
smoke	house	Derivation	Spanish		smoke	home, fireside, Penates	→
smoke	pride	Polysemy	Romanian	fum	smoke	arrogance	→
smoke	pride	Polysemy	Ancient Greek	τῦφος	smoke	arrogance	→
smoke	abberation of mind	Polysemy	Spanish	humo	smoke	drunkenness	→
smoke	abberation of mind	Polysemy	Romanian	fum	smoke	inebriety (metaphoric)	→
board, plank	cover, lid	Polysemy	Aghul	q&#39;ul	board used to knead dough	cover (e.g. pot)	
board, plank	shield	Polysemy	Mandarin Chinese	pái	board, plate	shield	→
board, plank	shield	Cognates			board	shield	—
board, plank	shield	Cognates			board	shield	—
board, plank	shield	Polysemy	Old English	bord	board	shield	—
board, plank	table; desk	Semantic evolution			plate, tablet	table	→
board, plank	table; desk	Polysemy	Latvian	galds	piece of board	table	—
board, plank	table; desk	Polysemy	Old English	bord	board	table	—
paper	letter (text)	Polysemy	Lezgian	čar	paper; sheet of paper	letter; document	→
paper	letter (text)	Polysemy	Aghul	k&#39;eǯ	paper	letter	→
paper	letter (text)	Polysemy	Lezgian	kaʁɨz	paper	letter; document	—
paper	letter (text)	Polysemy	Gagauz	kiyat	paper	letter	—
paper	letter (text)	Polysemy	Farsi	kâğaz	paper	letter (text)	—
paper	letter (text)	Polysemy	Archi	kaʁəra	paper	letter (text)	—
paper	letter (text)	Polysemy	Gurindji	mirlimirli	paper	letter (text)	—
paper	letter (text)	Polysemy	Hup	cug’æ̌t	paper	letter (text)	—
paper	letter (text)	Polysemy	Kali&#39;na (Carib)	kaleta	paper	letter (text)	—
paper	letter (text)	Polysemy	Malagasy	taratàsy	paper	letter (text)	—
paper	letter (text)	Polysemy	Q&#39;eqchi&#39;	hu	paper	letter (text)	—
paper	letter (text)	Polysemy	White Hmong (Hmong Daw)	ntawv	paper	letter (text)	—
paper	letter (text)	Polysemy	Tzotzil	vun	paper	letter (text)	—
paper	letter (text)	Polysemy	Hani	so³¹ɣa³¹	paper	letter (text)	—
paper	letter (text)	Polysemy	Jinuo (Jino)	a³³pjo³³	paper	letter (text)	—
paper	playing cards	Derivation	Lezgian		paper; sheet of paper	cards (pl.)	
paper	playing cards	Derivation	Aghul	k&#39;eǯ	paper	cards (pl.)	
paper	document (n.)	Polysemy	Tabassaran	kaʁaz	paper	document (fig.)	→
paper	document (n.)	Polysemy	English	paper	paper	an official document	→
paper	document (n.)	Polysemy	Russian	bumaga	paper	any official written document	→
paper	document (n.)	Polysemy	French	papier	paper	document (n.)	→
paper	document (n.)	Polysemy	Norwegian	papir	paper	document (n.)	→
paper	document (n.)	Polysemy	Danish	papir	paper	document (n.)	→
paper	document (n.)	Polysemy	Swedish	papper	paper	document (n.)	→
paper	document (n.)	Polysemy	Icelandic	pappír	paper	document (n.)	→
paper	document (n.)	Polysemy	Hungarian	papír	paper	document (n.)	→
entirely	separately	Polysemy	Aghul	k&#39;ildi	separately, alone	fully, totally	
juice	benefit	Polysemy	Aghul	mufiʡat // mufeʕat	juice, nectar	use, profit	
juice	benefit	Polysemy	Lezgian	qːafun	cold snack; sauce, puree; sour milk	use, profit	
juice	benefit	Polysemy	Lezgian	q’ež	humidity	profit, use	
seed (n.)	tribe	Polysemy	Aghul	tum	seed, seeds	kindred, tribe	
seed (n.)	tribe	Polysemy	Karaim	урлукъ	seed; sowing	children, posterity	
seed (n.)	tribe	Polysemy	Geez	zarʔ	seed	tribe	→
seed (n.)	ferment, leaven	Polysemy	Lezgian	tum	seed	yeasr	
seed (n.)	freckle	Derivation	Russian		cannabis, hemp	freckle	→
seed (n.)	freckle	Polysemy	Ancient Greek	φακός	lens	freckle	—
seed (n.)	freckle	Polysemy	French	lentille	lens	freckle	—
seed (n.)	freckle	Polysemy	Turkish	çiğit	grain, seed (cotton, punpkin, melon etc)	freckle	—
tribe	kind (n.)	Polysemy	Russian	rod	kindred, clan	kind	
tribe	kind (n.)	Polysemy	Gagauz	soy	clan, tribe	sort, kind, species, breed	
tribe	kind (n.)	Polysemy	Abaza	ɬap’q’	clan	species, breed	→
bow (weapon)	clavicle	Polysemy	Aghul	tːakːra	bow (arm)	collar bone	
bow (weapon)	rainbow	Polysemy	Sanskrit	cāpa	bow (arm)	rainbow	→
bow (weapon)	rainbow	Polysemy	Evenki	ber	bow	rainbow	—
bow (weapon)	rainbow	Polysemy	Karaim	йаа	bow	rainbow	→
bow (weapon)	rainbow	Polysemy	Latin	arcus	bow	rainbow	—
bow (weapon)	rainbow	Derivation	Sanskrit		arms	rainbow (lit. thirty (deity)&#39;s bow )	→
bow (weapon)	fire-arms	Polysemy	Itelmen	č&#39;it	bow	gun	→
bow (weapon)	fire-arms	Semantic evolution	Thai	pɯ̄n	bow, crossbow, arbalest	gun	→
bow (weapon)	fire-arms	Polysemy	Yakut	sa:	bow	gun	→
bow (weapon)	fire-arms	Polysemy	Yazghulami	bədů	bow	gun	→
stick (n.)	habit	Polysemy	Aghul	1&#39;ul	cane, whip	habit, trait	
stick (n.)	&lt;unit of length&gt;	Polysemy	Italian	canna	cane	length unit (about 2 m)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Russian	batog	stick, cane	length unit (usually half of a running fathom)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Sanskrit	çāmyá	stick, cane	length unit (= 1,5 cubit)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Sanskrit	daṇḍa	stick , staff , rod , pole	measure of length (appr. = 2 m)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Turkish	arış	shaft	cubit (=length unit)	—
stick (n.)	&lt;unit of length&gt;	Polysemy	English	perch	perch	length unit (= 5,03 m)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	English	rod	rod	length unit (= 5 m)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	English	pole	pole, perch,	length unit (= 5,029 m)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Spanish	vara	rod, cane, pole	length unit	→
stick (n.)	&lt;unit of length&gt;	Polysemy	Latin	pertica	perch, pole, stick	length unit (5 feet)	→
stick (n.)	&lt;unit of length&gt;	Polysemy	German	Rute	cane, whip	ancient German length unit = 3-5 m and square unit = 14 m2	→
stick (n.)	punishment	Polysemy	Sanskrit	daṇḍa	stick	punishment (corporal , verbal , and fiscal ; chastisement and imprisonment , reprimand , fine)	→
stick (n.)	trunk (of a tree)	Semantic evolution			a stick, rod	Tronc d&#39;arbre dans sa partie droite et dépourvue de branches	→
ahead	before	Polysemy	Jarawara	nokosi//nokosi	in front of	before	—
ahead	before	Polysemy	Mongolian (Khalkha)	ömnö	in front, in advance of	before	
ahead	before	Polysemy	Ingush	ħalχa	in front, in advance of	before	
ahead	before	Polysemy	Aghul	udihdi	forward	before	
ahead	before	Polysemy	English	before	in front, in advance of	before	
ahead	before	Polysemy	Gagauz	ileri	forward	before	
ahead	before	Polysemy	Farsi	пиш	front; ahead	before	
ahead	before	Derivation	Yakut		front; frontwards	the day before, earlier	—
ahead	before	Polysemy	Hungarian	előtt	ahead	before	—
ahead	elder	Polysemy	Itelmen	кл̹фəњч&#39;ан	front	elder	→
to stick (to a surface), to adhere	to fight, scuffle	Polysemy	Tabassaran	alabsub // alarsub	to stick to the top	to strike from upside	
to stick (to a surface), to adhere	to fight, scuffle	Polysemy	Ingush	lata	to stick	to fight	
to stick (to a surface), to adhere	to fight, scuffle	Polysemy	Aghul	uqːas	to get stuck	to fight	
to stick (to a surface), to adhere	to fight, scuffle	Polysemy	Lezgian	kik’idaj	thick, sticky, adhesive	combative	
to stick (to a surface), to adhere	to fight, scuffle	Polysemy	Lezgian	kuk’un	to stick, to cling	to throw at smb, to attack	
to stick (to a surface), to adhere	to fight, scuffle	Derivation	Russian		to mould	to hit, to blow	
to stick (to a surface), to adhere	to flirt	Polysemy	Russian	kleit&#39;sja	to stick	to cozy up to	
to stick (to a surface), to adhere	to flirt	Polysemy	Japanese	бэтацуку	to be sticky, adhesive	to flirt	
to stick (to a surface), to adhere	to bother, pester	Polysemy	Tabassaran	šq’aq’	resin, tar	obtrusive person	
to stick (to a surface), to adhere	to bother, pester	Polysemy	Russian	pristavat&#39;	to stick, to adhere, to cling	to hammer at smn, to nag	
to stick (to a surface), to adhere	to bother, pester	Polysemy	Turkish	cıvı-	to become sticky, viscous	to get boring, obtrusive, impudent	→
to stick (to a surface), to adhere	to become infected	Polysemy	Swahili	ambo	glew; adhesive substance	contagious	→
to stick (to a surface), to adhere	greedy	Polysemy	Lezgian	šq’aq’	resin, gum	stingy	
line	handwriting	Polysemy	Aghul	χat&#39;	line	handwriting	
wing	spoke	Polysemy	Aghul	χil // χir	wing	arm (wheel)	
wing	sail (n.)	Polysemy	Ancient Greek	πτερόν	wing	sail	→
wing	sail (n.)	Polysemy	Tuvan	чалгын	wing (bird)	boat sail	
wing	flank (military)	Polysemy	Farsi	дженаh	wing	wing (milit.)	
wing	flank (military)	Polysemy	Kurdish	bāsk	arm, wing	wing (milit.)	
wing	flank (military)	Polysemy	Azeri	qanad	wing	wing (milit.)	
wing	flank (military)	Polysemy	German	Flügel	wing	wing (milit.)	
wing	flank (military)	Polysemy	Latin	ala	wing	wing (milit.)	
wing	flank (military)	Polysemy	Armenian	t(h)ev	wing	wing (milit.)	
wing	flank (military)	Polysemy	Thai	pīk	wing	side, flank	→
wing	flank (military)	Polysemy	Khmer	sla:p	wing (bird, plane)	wing (milit.)	→
wing	flank (military)	Polysemy	Romanian	aripă	wing	wing (milit.)	→
wing	flank (military)	Polysemy	French	aile	wing	flank (military)	→
wing	fin	Polysemy	Amharic	kənf	wing	fin (of a fish)	→
wing	fin	Polysemy	Ancient Greek	πτέρυξ	wing	fin	→
wing	fin	Polysemy	Romanian	aripă	wing	fin	→
wing	fin	Polysemy	Armenian	t‘ev (թեվ)	wing	fin	—
wing	fin	Cognates			fin	wing	
wing	fin	Polysemy	Meadow Mari	шулдыр	wing	fin	—
wing	fin	Polysemy	Spanish	aleta	winglet	fin	
wing	fin	Polysemy	Turkish	kanat	wing	fin	—
wing	fin	Polysemy	Dari	bāl	wing	fin	
wing	fin	Derivation	Nganasan		wing	fin	
wing	fin	Polysemy	Komi	борд	wing	fin	—
wing	fin	Polysemy	Romani	phak	wing	fin	—
wing	fin	Polysemy	Niuean	tapakau, kapakau	wing (of any flying thing)	fin of a fish	—
wing	fin	Polysemy	Nuguria	kapakau	wing	front flippers (of turtle)	—
wing	fin	Polysemy	Takuu	kapakau	wing of a bird	pectoral fin of a fish, flipper of a turtle	—
wing	fin	Polysemy	Tikopia	kapakau	wing	fin	—
wing	fin	Polysemy	Tuvaluan	kapakau	wing	lateral fin	—
wing	fin	Polysemy	Hill Mari	шылдыр	wing	fin	→
wing	fin	Polysemy	Udmurt	бурд	wing	fin	→
wing	border	Polysemy	Tigre	danbar	wing	border	—
wing	side (n.)	Polysemy	Classical Arabic	ǧanāḥ-	wing	side	→
wing	side (n.)	Polysemy	Ancient Greek	πτερόν	wing	side	→
wing	to defend	Polysemy	Classical Arabic	ǧanāḥ-	wing	neighbourhood; protection	→
wing	armpit	Polysemy	Romani	phak	wing	armpit	—
wing	feather	Polysemy	Ancient Greek	πτερόν	wing	feather	—
wing	feather	Polysemy	Romani	poor	wing	feather	←
wing	feather	Polysemy	Archi	cal	wing	feather	—
wing	feather	Polysemy	Yaghnobi	bol	wing	feather	—
wing	oar	Polysemy	Ancient Greek	πτέρυξ	wing	paddle	→
elder	boss	Polysemy	Nivkh	пилаӈ	oldest in family	hunter group leader	→
loud	severe (about pain)	Polysemy	Erzya	марявикс	loud	sensitive; perciptibe (pain)	→
closed	dark (adj.)	Polysemy	Romanian	închis	closed	dark	—
closed	dark (adj.)	Polysemy	Gagauz	kapanık	closed, locked	dark (colour)	
closed	strong (of liquid or smell)	Polysemy	Lak	äntsːa	locked	strong, rich	→
closed	cloudy	Polysemy	Lak	bawšːusːa	closed tightly, walled up	nurky	→
nap, shag (of a carpet)	leafy tops of root vegetables	Polysemy	Aghul	č&#39;ič&#39;	fluff, hair	wart on an eyelid	
evil (adj.)	strong	Polysemy	Aghul	ʡajef	wicked	strong, jerky	
evil (adj.)	spicy	Polysemy	Jarawara	hama	mean, dangerous	cause burning sensation in	—
evil (adj.)	spicy	Polysemy	Russian	злой (zloj)	evil (adj.)	strong (about mustard, horseradish, tobacco)	—
evil (adj.)	spicy	Polysemy	Udmurt	лек	evil (adj.)	bitter (of onion, horseradish, mustard), strong (of tobacco, wine)	—
armpit	corner	Polysemy	Gagauz	koltuk	armpits	corner, edge, nook	
armpit	gulf	Polysemy	Gagauz	koltuk	armpits	gulf, bay	
armpit	to tickle	Derivation	Ilocano		armpit	to tickle, titillate	—
to turn round	to heal (of a wound)	Polysemy	Ingush	берза (berza)	to turn	to heal (wound)	—
to harness	to begin (tr.)	Polysemy	Karaim	йик-	to harness, to yoke	to begin	
to harness	to force to work	Polysemy	Russian	запрягать (zaprjagat&#39;)	to harness, to yoke	to make work (colloq.)	→
to harness	to force to work	Polysemy	Tigrinya	ṣämmädä	to yoke, harness up, to hitch oxen to a plow, horses to a wagon, etc.	to keep s.o. busy, engaged in a task, a job	→
to harness	to force to work	Polysemy	French	atteler	to harness	to force to work	→
to harness	to force to work	Polysemy	German	einspannen	to harness	to force to work	→
to harness	two	Derivation	Amharic		to yoke, harness up a pair of oxen	pair, couple	→
to harness	trap, snare (n.)	Derivation	Amharic		to yoke, harness up a pair of oxen	trap, snare; yoke	→
bottom	buttock	Polysemy	Chaha	ḳ’ən	bottom of a thing	podex, anus, buttocks	—
bottom	buttock	Polysemy	Japanese	shiri (尻 )	buttocks	bottom (e.g. of a kettle)	→
bottom	buttock	Polysemy	Ingush	buχ	river bed	buttock, croup	
bottom	buttock	Polysemy	English	bottom	bottom	rear	—
bottom	buttock	Cognates	Romani	bul	bottom	buttocks	—
bottom	buttock	Polysemy	Hungarian	fenék	bottom	buttock	↔
bottom	buttock	Polysemy	Hungarian	fenék	bottom	buttock	↔
bottom	&lt;waterfowl&gt;	Derivation	Romanian		bottom	pochard	→
buttock	cheek	Polysemy	Romanian	bucă	buttock	cheek	←
buttock	edge	Polysemy	Japanese	shiri (尻 )	buttocks	edge, end	—
buttock	edge	Polysemy	English	butt	(informal) buttocks	The larger or thicker end of an object	←
buttock	lower part	Polysemy	Amharic	murṭ	anus	bottom, butt, the underneath or underside (dialectal)	→
buttock	genitalia	Polysemy	Amharic	murṭ	anus	penis	—
buttock	pelvis	Polysemy	Abaza	ʒtʃqa	buttock	pelvis	—
to measure	to imitate	Polysemy	Ingush	wista	to measure	to imitate	
to measure	moderate	Derivation	Amharic		measure, measurements, dimension(s), size	moderately, properly, with moderation (lit. in measure)	→
to measure	moderate	Derivation	Russian		to measure	moderate	→
to measure	moderate	Derivation	Hungarian		to measure	moderate	→
chopped billet	executioner&#39;s block	Polysemy	Ingush	gar	log	block, scaffold	
chopped billet	executioner&#39;s block	Polysemy	English	block	block, chunk	block, scaffold	
bead	spider	Polysemy	Ingush	gizg	bead	spider	
circle	knee	Polysemy	Ingush	go	ring, rim, cordon	knee	
circle	knee	Semantic evolution			the wheel of a vehicle	knee	→
circle	finger-ring	Polysemy	English	ring	ring	ring	
circle	finger-ring	Polysemy	Kurdish	halqa	mole	ring	
circle	&lt;money&gt;	Polysemy	Mongolian (Khalkha)	tögörig	round	tugrik	
circle	&lt;money&gt;	Polysemy	Japanese	en	mole	yen	
circle	&lt;money&gt;	Polysemy	Mandarin Chinese	yuan2	round, circle	yuan	
circle	wheel	Polysemy	Karaim	кипцэк	ring	wheel	
circle	wheel	Polysemy	Tibetan	aphang-lo	mole	wheel	
circle	destiny	Polysemy	Farsi	доур	rotation, whirl	destiny	
circle	eye	Polysemy	Ancient Greek	κύκλος	mole	eye	→
circle	year	Polysemy	Ancient Greek	κύκλος	mole	year	→
knee	genitalia	Polysemy	Akkadian	birku	knee	(an euphemism for male and female sexual parts)	→
knee	genitalia	Semantic evolution	Polish	łono	lap, knees, breast	genitalia (obs.)	←
knee	foot/leg	Polysemy	Romani	čang	knee	leg	—
knee	elbow	Polysemy	Romani	koč	knee	elbow	—
knee	ankle	Cognates	Romani	koč	knee	ankle	—
knee	strong	Polysemy	Amharic	gʷəlbät	knee	strength, power, might, vigor, energy	→
to milk	to spawn	Polysemy	Russian	doit&#39;	to milk	to spray out spawn	
to milk	to spawn	Polysemy	Yakut	ya-	to milk	to spray out spawn	
to milk	to extort (money from smb.)	Polysemy	Farsi	души-	to milk	to rob, to despoil	→
to milk	to extort (money from smb.)	Polysemy	Russian	doit&#39;	to milk	to racket	→
to milk	to extort (money from smb.)	Polysemy	Gagauz	saa-	to milk	to rob, to despoil	→
to milk	to extort (money from smb.)	Polysemy	Pashto	lwašəl	to milk	to extort	→
to milk	to extort (money from smb.)	Polysemy	German	melken	to milk	to rob, to use (smn) for your own ends	→
to milk	to derive profit	Polysemy	Sanskrit	duh	to milk	to  take advantage of	→
to lead	to behave	Derivation	Russian		to lead, to guide	to behave	
to lead	to behave	Derivation	English		to lead, to conduct	to behave	
to lead	to behave	Derivation	French		to lead, to conduct	to behave	—
to lead	to behave	Derivation	Norwegian		to lead	to behave	→
to lead	to behave	Derivation	Danish		to lead	to behave	→
to lead	to behave	Derivation	Swedish		to lead	to behave	→
to lead	to govern, control, rule	Polysemy	English	lead	to lead, to conduct	to lead, to rule	
to lead	to govern, control, rule	Polysemy	Amharic	märra	to lead (the way) (K 168f.)	to shovel down food	
to lead	to govern, control, rule	Polysemy	Latin	ducere	to lead, to conduct	to head	
to lead	to govern, control, rule	Polysemy	Ancient Greek	ἄγω	to lead, to conduct	to command, to rule, to lead	→
to lead	to govern, control, rule	Polysemy	Norwegian	lede	to lead	to govern, control, rule	→
to lead	to govern, control, rule	Polysemy	Danish	lede	to lead	to govern, control, rule	→
to lead	to govern, control, rule	Polysemy	Swedish	leda	to lead	to guide, control	→
to lead	to govern, control, rule	Polysemy	Hungarian	vezet	to lead	to govern, control, rule	→
to lead	to cause	Derivation	French		to lead, to conduct	to take somewhere, to lead to smth	→
to lead	to cause	Polysemy	German	führen	to lead, to conduct	to lead	→
to lead	to cause	Polysemy	Amharic	märra	to lead (the way) [K 169]	to cause	→
to lead	to cause	Polysemy	English	lead	to lead (the way) [НБАРС II 332]	to lead to, to cause	→
to lead	to cause	Polysemy	Russian	privesti	to bring	to lead	→
to lead	to cause	Polysemy	Ancient Greek	ἄγω	to lead, to conduct	to become the cause	→
to lead	to cause	Polysemy	Norwegian	føre	to lead	to cause	→
to lead	to cause	Polysemy	Danish	føre	to lead	to result in	→
to lead	to cause	Polysemy	Swedish	föra	to lead	to lead to, cause	→
to lead	to cause	Polysemy	Icelandic	leiða	to lead	to lead to, cause	→
to lead	to cause	Polysemy	Hungarian	vezet	to lead	to cause	→
to lead	to marry	Polysemy	Tabassaran	ʁa(b)χub	to carry away; to take away	to marry	
above	additional	Polysemy	Akkadian	elēn, elēnu	on top	besides	
above	additional	Polysemy	Russian	sverhu	above, at the top	on top	
to blow	to breathe	Derivation	Arabic		to blow (wind) (BK I 945f.),	to breathe (BK I 946; Lane 1179; TA II 153)	—
to blow	to breathe	Derivation	Geez	nafsa	to blow (wind) [LGz. 389]	to breathe, to inhale [LGz. 389]	—
to blow	to breathe	Polysemy	English	breathe	breathe	to breathe, to inhale, to breathe out [NBARS 275]	—
to blow	to breathe	Polysemy	Karaim	ÿр-	to blow	to breathe	—
to blow	to breathe	Polysemy	Swahili	vuvia	to blow (up), to inflate	to breathe	—
to blow	to breathe	Polysemy	Farsi	дäми-	to blow (up)	to breathe	—
to blow	to breathe	Polysemy	French	souffler	to blow	to breathe heavily	—
to blow	to breathe	Polysemy	Modern Greek	pneō	to blow	to breathe	—
to blow	to breathe	Polysemy	Latin	spiro	to blow (of wind)	to breathe	—
to blow	to deceive	Derivation	Russian		to blow	to deceive	
to blow	to deceive	Polysemy	Tuvan	үр-	to blow	to play jack with, to deceive	
to blow	to rise (of heavenly bodies)	Polysemy	Farsi	дäми-	to blow (up), to inflate	to rise (sun, moon, dawn)	
to blow	to grow (plants)	Polysemy	Farsi	дäми-	to blow (up), to inflate	to grow	
to blow	to smell (of smth)	Polysemy	Classical Arabic	nafaḥa	&#39;to blow&#39;	&#39;to diffuse odour&#39;	—
to blow	to speak	Semantic evolution	Finnish	haastaa	to breath, to sigh	to say, to speak	→
to blow	to speak	Semantic evolution	Finnish	puhua	to blow	to say, to speak	→
to blow	to speak	Polysemy	Araki	soɾo	to blow	to talk, tell a story	→
to blow	to beat, hit	Polysemy	Classical Arabic	nafaḥa	&#39;to blow&#39;	&#39;to strike, smite&#39;	→
to blow	to beat, hit	Derivation	Russian		to blow	to beat, beat up	→
to blow	to beat, hit	Derivation	English		to blow	hard stroke with fist, hammer etc.	→
to blow	to spread (intr.)	Polysemy	Akkadian	napāšu	&#39;to breath freely&#39;	&#39;to expand, to become abundand&#39;	→
to blow	to whisper	Polysemy	French	souffler	to blow	to whisper, prompt	—
to breathe	wind	Polysemy	Akkadian	šāru	&#39;breath, emanation&#39;	&#39;wind&#39;	—
to breathe	wind	Polysemy	Ancient Hebrew	rūăḥ	breath	wind	—
to breathe	wind	Polysemy	Sanskrit	vājú	wind	breath	—
to breathe	wind	Polysemy	Latin	spiritus	breath	wind	→
to breathe	wind	Polysemy	Ancient Greek	pneuma	act of breathing, sb’s breath	wind	→
to breathe	to rest	Polysemy	Classical Arabic	ʔarāḥa	to breathe	to have rest	→
to breathe	to rest	Polysemy	Swahili	tanafusi	to breath	to have rest, to make a break	→
to breathe	to rest	Polysemy	Swahili	pumua	to breath	to make a break	→
to breathe	to rest	Polysemy	Sanskrit	āçvas	to breath freely	to have rest	—
to breathe	to rest	Polysemy	Osetin	ūlæfyn	to breath	to have rest	—
to breathe	to rest	Polysemy	Karaim	тын-	to breath	to have rest	→
to breathe	to rest	Derivation	Ancient Greek		to blow, to breathe	to give rest, refreshment	→
to breathe	to rest	Polysemy	Farsi	тäнäффос	breath	pause, break	—
to breathe	to rest	Polysemy	Erzya	укстамс	to sigh	to have rest	→
to breathe	to rest	Polysemy	Geez	ʔanfasa	to breathe, to exhale	to have rest, to relax	—
to breathe	to rest	Derivation	Russian		breath	to have rest	
to breathe	to rest	Polysemy	Jarawara	hasi na	to breathe	to rest	—
to breathe	to rest	Polysemy	Makonde	ku-pumula	to breathe	to take a rest	→
to breathe	to rest	Polysemy	Nahuatl	imi’iyo	to breathe	to take a rest	→
to breathe	to rest	Polysemy	Mwotlap	mōkheg	to breathe	to take a rest	→
to breathe	to rest	Polysemy	Kumak	horêân	to breathe	to take a rest	→
to breathe	air	Polysemy	Koryak	в&#39;ыйв&#39;ый	breath	air	—
to breathe	air	Polysemy	Mandarin Chinese	qì	breathing, breath	air	—
to breathe	air	Polysemy	Sar	koo	breathing, breath	air, gas	—
